leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
504.41821146567975,372.26422522352146,419.5435829014166,500.68019965769713,487.62552699226353,103.01143903188755,522.3533006957533,400.0558677238504,-16.98549500699173,474.08659228389126,209.18228327532222,492.8576245085563,186.80262227930447,77.58110402161593,90.23354496937317,550.0231079734051
444.06264546316424,312.72640050384047,380.16150567318215,480.7790482476585,432.30519573048394,120.38702376765909,466.544588437804,314.8316330983849,-33.056182267600924,465.4602967889815,204.33572850802528,501.5729716404732,147.61119797999757,52.508159103788856,11.111773182909776,554.0363481748907
360.4943633914458,370.80425321746986,351.96187357030493,514.6305096087679,430.85220752523105,170.3911859383855,355.06927935529774,420.5102072602109,28.122093111624515,454.7047882870689,279.2265793321661,511.65830226759834,230.7398078413789,38.43377147931509,135.6912504559825,525.4699975838932
329.0256176662816,395.6528914160061,351.3865691307454,514.4131169294446,428.5431596926678,167.80967811228697,330.6851944385336,427.3425458997025,19.140192766597764,447.9273884036998,275.42686670206865,511.073365680912,246.294743281858,60.07903894612208,67.72402752234315,542.160687224235
345.7730470649927,353.8679357143264,388.08971123008877,510.7043038007509,441.6910585633512,211.30698881001052,290.3213750341987,443.5997143681185,49.58274277267753,421.57946374132223,304.58215498274865,519.5879526088893,310.3755918272738,94.28009981936124,53.881073591774076,530.4380474189402
331.7060822364421,343.45073798777526,350.1884454511947,504.46946297284853,420.1002021522374,153.39172995769914,222.5171515913789,394.9954367919289,67.97753241275535,446.35078687124303,317.59441709703975,503.4681108702032,274.5239352808852,57.18900848546794,117.24329432624788,542.8197151144551
339.6041027024562,413.79705320368157,393.26758358729023,524.0301908977291,463.9653947288424,175.63737701257892,229.294566588643,490.58125234020804,79.22583672786965,481.9755467232027,323.4128175728052,513.2833988802421,258.3485287914944,39.11110042908031,146.6122733387038,509.01989951652564
328.8511331164883,403.49012463821646,388.3880888348887,516.8388279732027,460.0423208748784,162.42372502934748,177.21167657161965,505.32323491388036,92.30594620166586,384.5199142218871,319.8463960937025,510.2555768106885,271.9349373546556,40.31333488503886,128.38746423387343,510.50225687768176
427.2807306074447,342.7108116347555,391.1986705023027,510.0643478156371,481.36496933517753,141.3418175890038,392.54907630297,324.30012895653283,98.05462670233463,448.8943430055608,320.7423124795758,511.0510087877975,265.76654456468873,42.884671700433124,155.6374032580899,494.98091149206607
330.03232725863325,410.1243630839135,391.5264506655445,517.3714087293556,482.7870457274441,127.80997478900179,184.54022715527725,495.8001993604274,91.78252105119164,457.1201605129736,321.44431978812014,520.4471868801611,277.69352515847766,38.35234646970126,185.67020163925704,374.2742951546308
268.1311652632539,378.611570368159,360.6242241469803,500.74143088543354,434.6698591774076,145.82827750882953,144.35368281857976,493.67133264096907,86.65863630836576,467.2079293839054,324.49541678224557,509.0942280033092,263.65691307453795,46.77356383961099,134.43084954287755,418.8000638497308
337.3441347352262,360.0873166415358,398.81946938511,511.4867547386051,475.0431283438716,115.81408475964798,282.2666367111503,519.6988215471179,85.75280809216926,481.3439704223,323.16071892526827,513.8055388297441,248.61904930975652,41.19129003020766,180.98273963779792,524.5318903947741
329.3018718081226,363.8483883556307,397.45713111491517,510.8339197030339,476.430797057393,132.42395509709965,219.85024300066877,505.13264394177054,80.39189186541486,472.2019863622794,325.41307679410113,508.9001077444442,266.07019802939567,43.6973136941386,163.6212152265853,529.4958606779267
334.8490935448079,362.39755739202155,397.05585553952227,511.65105157565574,478.11922422178986,111.25328834810405,240.95982414275292,499.3636974275421,91.11434520914398,471.5105616119859,351.1819481756901,514.4970347350126,256.56341433988933,46.36089581899692,167.59993438126975,476.3899665792989
341.784002994285,396.0925119034367,397.47834572996146,510.67602444189197,478.91671859800584,133.46001659650258,237.9834554353113,433.0530552048757,105.63295119467412,412.0092156761051,324.1043743920234,508.8330062312783,270.2459811793227,34.102776878238345,104.7330673752128,460.0276595199664
330.6223021035992,352.1573034098729,388.3640179467109,510.7677266017143,463.7502849890564,115.89558388902734,237.64434695707686,440.5284759047118,87.14703155398833,464.8599527783962,355.09238068695663,508.77190782616174,256.7160093552408,33.57620160196729,178.0783377918288,485.31030526432966
263.832342838035,373.33312355792583,361.20448932573487,501.7990120210796,454.8514447045234,106.60891834318329,159.5534933958536,505.8693683209197,83.50805586877964,401.36734878460976,323.01109254592126,509.7767062014249,274.5590008093689,29.29202697437662,170.64932025360227,547.1919606263156
332.34840482125486,328.5692548998897,361.48553989276814,482.4167481852319,448.5298174550097,145.54401931367389,211.80280277237355,391.2171461668657,93.4834129244437,406.61838195484535,353.8660338880487,490.4927640134189,281.0223317424611,54.43590865851684,157.09924215472626,470.4907400496883
